Y_true,Y_predicted
1.713529918,1.977435341
1.942570204,1.84121596
2.352695647,2.641510445
1.04300841,1.149323049
1.99264187,1.370631033
1.865778887,1.827380125
1.100313187,0.808772458
1.870039273,1.668501368
0.697665163,1.144488389
1.0918761,1.11173166
1.614314428,1.316327799
1.760422483,2.331118434
3.058788797,1.915003581
1.973218917,1.923696235
1.394849019,2.025822855
0.808346036,1.991709713
1.265412399,1.439815433
1.722613359,2.191707634
2,1.654340973
2.020428618,2.250697382
1.61734438,2.267957462
1.362482475,1.657804346
3.561339941,2.869188673
2.036748629,2.09840169
1.831069526,2.192821308
2.084397519,2.081073939
1.069131371,0.923162954
1.635483747,1.828736581
1.971254969,1.781942359
0.917934166,2.215388937
1.912668348,1.181980596
3.418632687,1.913095877
1.561935763,2.202444359
1.807250492,1.780545308
1.870366142,1.653241517
2.051654807,2.226630337
1.898030047,1.793180582
1.041392685,1.30738682
1.230448921,1.308861311
2.541705125,1.894401533
2.159700843,1.68696384
1.143445756,1.044000175
1.691541194,1.898536515
1.301566018,1.140162845
1.870049395,1.658422498
1.339650158,1.806116768
1.990770017,1.929051679
1.083466785,1.806116768
2.12848466,2.271601491
2.121190389,2.129704933
0.879955585,1.044000175
1.780116632,2.105488924
1.176091259,1.31029821
0.767601068,1.991709713
2.200359834,2.0044225
0.722436471,1.783561661
2.725849586,2.68895146
1.916318253,1.695222581
2.380211242,1.724262028
1.124938737,2.032857036
2.515873844,2.270483636
1.124937651,1.12755896
3.771620401,2.866553907
0.954242509,1.308861311
2.161025566,2.296355966
2.991744947,2.465875991
1.637417354,2.331118434
2.267288768,2.445847027
1.584331224,1.756261951
2.32584721,2.687173772
1.564226307,1.758101485
1.849445739,2.198244682
0.88418908,0.834628957
0.857332496,1.341886919
1.9743259,2.605580388
1.360032672,1.502933989
2.788314526,1.863255393
1.152899596,1.911945752
2.13677219,2.271919418
1.853576544,1.929154129
1.535113202,1.939368317
0.760422483,1.570435261
1.471626944,1.705444503
1.823908741,1.862744405
1.357597207,1.627712504
1.756715202,1.556234629
2.491585788,2.219781116
0.923917223,1.031517317
2.560750466,2.401521708
1.223306918,1.883955064
1.27699764,1.376394084
2.040346553,2.173497386
1.578606469,2.025836216
1.634698895,1.181980596
2.061370476,2.125532394
1.849388699,1.818098739
3.826197425,2.875383749
0.780749231,0.923162954
1.91149287,1.795762137
1.204119983,1.309584404
0.538573734,0.734418145
2.664027889,2.495541231
1.212720154,1.181744862
1.494622044,1.545505307
1.433655561,1.974388424
0.923723784,0.84807864
2.044579667,1.92103892
1.911535786,1.830846928
2.5677349,1.747926634
2,1.922378779
2.560697879,2.188089595
2.147358332,1.923187333
3.038708291,2.317217305
3.869143631,2.87513513
1.459982217,1.630363151
3.594127251,1.747658578
0.954242509,1.308861311
2.147048827,2.08091917
1.272577472,1.707190904
1.723165016,2.077260084
3.962860847,2.343933355
1.290479813,1.559362259
2.345571996,1.902569204
1.658964843,1.507325487
0.774662923,1.559959529
2.406375515,2.09867601
1.033218624,0.991666669
1.532562497,1.759331309
2.497335019,2.703560593
3.323041607,2.524030432
2.108281788,1.815012128
2.109581921,2.595629397
2.260044116,1.845969414
1.177247836,1.541935991
2.13677219,2.271919418
3.216535357,2.257935394
2.237543738,2.527993587
0.851502953,1.922378779
1.084933575,1.563508748
1.188365926,1.031517317
1.846392787,1.73427261
1.983596006,1.722167571
1.263221694,1.348988735
2.042001258,2.137472986
1.848119501,1.908572446
1.087367704,1.710115649
0.934447949,0.771403581
1.947833677,2.004706106
1.777535564,2.191707634
1.538573734,1.611509292
2.103974669,1.922378779
1.716331413,1.780545308
2.42620563,1.923555807
2.002616688,2.094017137
2.128399269,2.46410335
1.216823947,0.41433994
2.282913293,2.323313946
1.90964673,2.359294776
2.095259042,2.083597979
2.24817871,2.235266638
2.571144348,2.360649777
2.214947113,2.377285443
3.372797894,1.812182341
1.394560241,1.910183062
1.395042305,1.943567437
2.009620841,1.007064041
0.617040622,1.481857443
3.765369969,2.864598534
1.862267714,2.060445967
2.805307034,2.565227262
2.03317147,1.766600925
1.444359727,1.681870147
1.115171003,1.722297949
2.297388412,1.663485628
1.471878199,1.617712685
1.557128942,2.129415894
1.786112284,1.873316994
1.146128036,1.31029821
3.785276065,2.878407454
3.915322996,2.875586779
2.205683132,2.17088386
1.517195898,1.876054528
1.767601068,2.091720669
2.013505319,2.340396526
2.252117609,2.130712594
1.805161873,1.73427261
1.060992607,1.488669383
2.299058899,1.924088417
1.146128036,1.311002836
3.153997687,2.257935394
2.549413139,2.267349668
3.613187669,2.869462421
2.486719681,2.652376103
1.362482475,1.60775712
1.750447965,2.009506627
2.760422483,2.491687973
1.401345389,1.477855927
3.155238842,2.871234641
2.603073699,1.747926634
2.402392081,2.328623936
2.473920027,2.251972492
2.331571025,1.913181798
1.929507965,1.73427261
0.741230411,0.991666669
3.030874863,2.972717214
0.870122869,1.044000175
2.00408094,2.125532394
1.487421211,1.620165659
2.462742302,2.705967478
1.33038623,1.84581873
1.809640506,1.894940666
2.003406759,2.108426985
2.39937651,1.902569204
1.614999748,1.720154451
2.100155068,2.139401133
1.927451721,2.240248575
