Y_true,Y_predicted
1.223306918,1.883955064
0.934447949,0.771403581
1.301566018,1.140162845
1.263221694,1.348988735
0.923723784,0.84807864
1.124937651,1.12755896
1.32451292,1.319783565
1.216823947,0.41433994
2.009620841,1.007064041
0.459392488,0.652701492
1.0918761,1.11173166
0.538573734,0.734418145
0.857332496,1.341886919
0.617040622,1.481857443
1.060992607,1.488669383
1.276405181,2.577535868
1.100313187,0.808772458
2.03317147,1.766600925
1.265412399,1.439815433
1.46145496,1.446904988
2.003406759,2.108426985
1.401345389,1.477855927
1.577429294,1.562660447
1.532562497,1.759331309
1.560062471,1.386466261
1.427054846,1.512005072
1.756715202,1.556234629
1.494622044,1.545505307
1.360032672,1.502933989
0.722436471,1.783561661
0.611943585,0.862725768
0.88418908,0.834628957
1.911535786,1.830846928
1.942570204,1.84121596
2.002616688,2.094017137
1.9743259,2.605580388
1.849388699,1.818098739
1.865778887,1.827380125
2.084397519,2.081073939
2.109581921,2.595629397
0.774662923,1.559959529
0.760422483,1.570435261
0.584331224,1.563508748
1.084933575,1.563508748
1.290479813,1.559362259
1.397244581,1.561149125
1.468937806,1.5353623
1.177247836,1.541935991
1.362482475,1.60775712
1.538573734,1.611509292
1.517195898,1.876054528
1.152899596,1.911945752
1.394560241,1.910183062
1.848119501,1.908572446
3.915322996,2.875586779
3.561339941,2.869188673
3.771620401,2.866553907
3.155238842,2.871234641
3.613187669,2.869462421
3.765369969,2.864598534
3.796890019,2.879975236
3.826197425,2.875383749
3.869143631,2.87513513
3.785276065,2.878407454
3.962860847,2.343933355
1.637417354,2.331118434
1.760422483,2.331118434
1.776614956,1.69708775
1.867632453,1.920674283
1.691541194,1.898536515
1.272577472,1.707190904
1.614999748,1.720154451
1.115171003,1.722297949
0.808346036,1.991709713
0.767601068,1.991709713
1.870039273,1.668501368
1.870049395,1.658422498
1.710345678,1.652101755
1.807250492,1.780545308
1.672558594,1.772731212
1.716331413,1.780545308
2.108281788,1.815012128
2.710751835,1.733654737
2.214947113,2.377285443
1.635483747,1.828736581
1.584331224,1.756261951
1.362482475,1.657804346
1.487421211,1.620165659
1.750447965,2.009506627
1.395042305,1.943567437
2.673803959,2.329674272
2.571144348,2.360649777
0.917934166,2.215388937
2.140864795,2.271312242
2.13677219,2.271919418
2.13677219,2.271919418
2.12848466,2.271601491
2.036748629,2.09840169
2.061370476,2.125532394
2.00408094,2.125532394
2.040346553,2.173497386
1.722613359,2.191707634
1.927451721,2.240248575
1.777535564,2.191707634
1.675365841,2.191707634
2.042001258,2.137472986
2.100155068,2.139401133
2.205683132,2.17088386
2.121190389,2.129704933
2.010193915,2.192279977
2.24817871,2.235266638
2.051654807,2.226630337
2.020428618,2.250697382
2.33475524,2.235266638
2.32584721,2.687173772
1.713529918,1.977435341
1.792779823,1.972239589
2.200359834,2.0044225
0.44611536,1.594618477
1.001844929,1.338288159
1.1372614,1.188379104
1.33038623,1.84581873
2.044579667,1.92103892
2.406375515,2.09867601
1.561935763,2.202444359
2.88154442,1.582343563
3.418632687,1.913095877
3.08361727,2.881645346
3.594127251,1.747658578
3.372797894,1.812182341
3.030874863,2.972717214
2.805307034,2.565227262
2.788314526,1.863255393
1.087367704,1.710115649
1.471878199,1.617712685
1.459982217,1.630363151
1.357597207,1.627712504
2.200326167,2.358850929
3.038708291,2.317217305
1.990770017,1.929051679
0.879955585,1.044000175
0.923917223,1.031517317
1.04300841,1.149323049
1.083466785,1.806116768
1.146128036,1.044000175
1.188365926,1.031517317
1.253095586,1.149323049
1.339650158,1.806116768
0.697665163,1.144488389
0.741230411,0.991666669
0.780749231,0.923162954
0.870122869,1.044000175
0.996861768,1.144488389
1.033218624,0.991666669
1.069131371,0.923162954
1.143445756,1.044000175
1.658964843,1.507325487
2.267288768,2.445847027
2.821712505,2.462556374
2.560750466,2.401521708
2.402392081,2.328623936
0.851502953,1.922378779
2,1.922378779
2.103974669,1.922378779
2.991744947,2.465875991
2.241571382,2.117303804
1.444359727,1.681870147
1.853576544,1.929154129
2.560697879,2.188089595
2.549413139,2.267349668
1.61734438,2.267957462
2.282913293,2.323313946
1.849445739,2.198244682
1.780116632,2.105488924
2.013505319,2.340396526
2.161025566,2.296355966
1.823908741,1.862744405
1.124938737,2.032857036
1.433655561,1.974388424
1.535113202,1.939368317
1.754174081,1.210286259
1.870366142,1.653241517
1.394849019,2.025822855
2.300665035,2.49236368
2.352695647,2.641510445
2.476736009,2.706574915
2.345571996,1.902569204
2.331571025,1.913181798
2.39937651,1.902569204
1.805161873,1.73427261
1.846392787,1.73427261
1.929507965,1.73427261
1.916318253,1.695222581
2.159700843,1.68696384
1.967470775,1.611025934
2,1.654340973
1.809963522,1.187064761
1.99264187,1.370631033
1.90964673,2.359294776
1.935068719,2.603818865
1.831069526,2.192821308
1.912668348,1.181980596
1.634698895,1.181980596
2.603073699,1.747926634
2.5677349,1.747926634
2.42620563,1.923555807
2.147358332,1.923187333
2.299058899,1.924088417
1.872699738,1.866653788
1.965697351,1.86088075
2.541705125,1.894401533
1.983596006,1.722167571
1.91149287,1.795762137
3.323041607,2.524030432
2.462742302,2.705967478
2.725849586,2.68895146
2.786430956,2.674028638
2.497335019,2.703560593
2.486719681,2.652376103
3.153997687,2.257935394
3.216535357,2.257935394
3.181614952,2.257935394
1.723165016,2.077260084
1.947833677,2.004706106
1.999454879,1.953489084
1.973218917,1.923696235
2.005404297,1.91530601
1.655495167,1.217416074
1.786112284,1.873316994
1.898030047,1.793180582
1.212720154,1.181744862
1.27699764,1.376394084
1.75601198,1.421384117
1.614314428,1.316327799
2.380211242,1.724262028
2.760422483,2.491687973
2.237543738,2.527993587
2.128399269,2.46410335
1.767601068,2.091720669
2.252117609,2.130712594
2.260044116,1.845969414
1.578606469,2.025836216
2.095259042,2.083597979
2.147048827,2.08091917
1.86471445,2.088900908
1.564226307,1.758101485
1.471626944,1.705444503
1.10096102,1.581143738
1.862267714,2.060445967
1.557128942,2.129415894
0.95008655,2.128830297
1.971254969,1.781942359
2.141098433,1.714742676
3.058788797,1.915003581
2.297388412,1.663485628
1.146128036,1.311002836
1.204119983,1.309584404
1.041392685,1.30738682
1.146128036,1.31029821
0.954242509,1.308861311
1.230448921,1.308861311
0.954242509,1.308861311
1.176091259,1.31029821
2.515873844,2.270483636
2.491585788,2.219781116
2.473920027,2.251972492
2.500784076,2.20829064
2.664027889,2.495541231
2.456851685,2.487380512
1.809640506,1.894940666
